AssetType,customer,TradeId,AggGroup,tradingBook,StartDate,endDate,tradeCurrency,transcation_amont
 IR_SWAP,C1,T62,A1,TB0,20190807,20270705, NZD,33
 IR_SWAP,C0,T63,A0,TB0,20190807,20290809, NZD,3
 IR_SWAP,C1,T64,A1,TB0,20190807,20210329, NZD,234
 IR_SWAP,C0,T65,A0,TB0,20190807,20260810, NZD,23
 IR_SWAP,C0,T66,A0,TB0,20190807,20240809, NZD,324
 IR_SWAP,C0,T67,A0,TB0,20190807,20250811, NZD,342
 IR_SWAP,C1,T68,A1,TB0,20190807,20191129, NZD,342
 IR_SWAP,C1,T69,A1,TB0,20190807,20200713, AUD,34
 IR_SWAP,C0,T70,A0,TB0,20190807,20210322, USD,32
 IR_SWAP,C1,T71,A1,TB0,20190807,20250327, NZD,324
 IR_SWAP,C1,T72,A1,TB0,20190807,20191017, NZD,3
 IR_SWAP,C1,T73,A1,TB0,20190807,20200306, AUD,34
 IR_SWAP,C1,T74,A1,TB0,20190807,20240918, SGD,32
 IR_SWAP,C0,T75,A0,TB0,20190807,20210809, NZD,23
 IR_SWAP,C1,T76,A1,TB0,20190807,20260727, NZD,32
 IR_SWAP,C0,T77,A0,TB0,20190807,20240813, SGD,32
 IR_SWAP,C0,T78,A0,TB0,20190807,20210809, NZD,434
 IR_SWAP,C1,T79,A1,TB0,20190807,20220620, AUD,324
 IR_SWAP,C1,T80,A1,TB0,20190807,20290919, NZD,324
 IR_SWAP,C1,T81,A1,TB0,20190807,20191125, AUD,3
 IR_SWAP,C1,T82,A1,TB0,20190807,20191206, AUD,34
 IR_SWAP,C1,T83,A1,TB0,20190807,20210809, NZD,3
 IR_SWAP,C1,T84,A1,TB0,20190807,20220706, AUD,43
 IR_SWAP,C0,T85,A0,TB0,20190807,20210809, NZD,4342
 IR_SWAP,C0,T86,A0,TB0,20190807,20240808, USD,342
 IR_SWAP,C1,T87,A1,TB0,20190807,20200318, AUD,3
 IR_SWAP,C1,T88,A1,TB0,20190807,20191220, AUD,434
 IR_SWAP,C1,T89,A1,TB0,20190807,20191125, AUD,324
 IR_SWAP,C5,T90,A5,TB0,20190807,20290809, USD,324
 IR_SWAP,C1,T91,A1,TB0,20190807,20210201, AUD,342
 IR_SWAP,C0,T92,A0,TB0,20190807,20240813, SGD,342
 IR_SWAP,C1,T93,A1,TB0,20190807,20220120, AUD,324
 IR_SWAP,C1,T94,A1,TB0,20190807,20240411, AUD,43
 IR_SWAP,C5,T95,A5,TB0,20190807,20290809, USD,432
 IR_SWAP,C1,T96,A1,TB0,20190807,20400113, AUD,3
 IR_SWAP,C1,T97,A1,TB0,20190807,20290809, NZD,234
 IR_SWAP,C1,T98,A1,TB0,20190807,20210628, NZD,23
 IR_SWAP,C1,T99,A1,TB0,20190807,20340919, AUD,234
